name,time,tweets
Donald J. Trump,2016-07-17 18:26:51,We are TRYING to fight ISIS and now our own people are killing our police Our country is divided and out of control The world is watching
Donald J. Trump,2016-07-17 17:30:42,We grieve for the officers killed in Baton Rouge today How many law enforcement and people have to https://tco/pPNrzG8kEa
Donald J. Trump,2016-07-17 13:09:02,The ratings at @FoxNews blow away the ratings of @CNN - not even close That's because CNN is the Clinton News Network and people don't like
Donald J. Trump,2016-07-17 13:04:10,@FoxNews is much better and far more truthful than @CNN which is all negative Guests are stacked for Crooked Hillary! I don't watch
Donald J. Trump,2016-07-17 12:24:04,If Goofy Elizabeth Warren a very weak Senator didn't lie about her heritage (being Native American) she would be nothing today Pick her H
Donald J. Trump,2016-07-17 12:14:46,I hope that Crooked Hillary picks Goofy Elizabeth Warren sometimes referred to as Pocahontas as her VP Then we can litigate her fraud!
Donald J. Trump,2016-07-17 12:06:18,It doesn't matter that Crooked Hillary has experience look at all of the bad decisions she has made Bernie said she has bad judgement!
Donald J. Trump,2016-07-17 11:55:21,As the days and weeks go by  we see what a total mess our country (and world) is in - Crooked Hillary Clinton led Obama into bad decisions!
Donald J. Trump,2016-07-17 04:19:05,We are going to have a great time in Cleveland Will lead to special results for our country We will Make America Great Again!
Donald J. Trump,2016-07-17 04:15:49,Goofy Elizabeth Warren who may be the least productive Senator in the US Senate must prove she is not a fraud Without the con it's over
Donald J. Trump,2016-07-17 03:39:09,Thank you to Jack Morgan Tamara Neo Cheryl Ann Kraft and all of my friends and supporters in Virginia GREAT JOB!
Donald J. Trump,2016-07-17 03:21:14,"@TrumpDoonbeg: Great news! We've been nominated for Ireland's Best Golf Hotel 2016We would appreciate your vote! https://tco/5uEBphqdG9"
Donald J. Trump,2016-07-17 03:15:22,Thank you to Chris Cox and Bikers for Trump - Your support has been amazing I will never forget MAKE AMERICA GREAT AGAIN!
Donald J. Trump,2016-07-16 16:13:29,Thank you! #TrumpPence16 https://tco/RHprMCsGT6
Donald J. Trump,2016-07-16 13:23:17,Crooked Hillary Clinton is bought and paid for by Wall Street lobbyists and special interests She will sell our country down the tubes!
Donald J. Trump,2016-07-16 13:19:11,Very sad that a person who has made so many mistakes Crooked Hillary Clinton can put out such false and vicious ads with her phony money!
Donald J. Trump,2016-07-16 13:13:56,Crooked Hillary who embarrassed herself and the country with her e-mail lies has been a DISASTER on foreign policy Look what's happening!
Donald J. Trump,2016-07-16 13:08:43,Crooked Hillary is spending big Wall Street money on ads saying I don't have foreign policy experience yet look what her policies have done
Donald J. Trump,2016-07-16 12:29:43,Look forward to introducing Governor Mike Pence (who has done a spectacular job in the great State of Indiana) My first choice from start!
Donald J. Trump,2016-07-16 02:12:13,Look forward to Governor Mike Pence VP introduction tomorrow in New York City
Donald J. Trump,2016-07-15 14:50:55,I am pleased to announce that I have chosen Governor Mike Pence as my Vice Presidential running mate News conference tomorrow at 11:00 AM
Donald J. Trump,2016-07-15 14:41:20,Four more years of weakness with a Crooked Hillary Administration is not acceptable Look what has happened to the world with O &amp; Hillary!
Donald J. Trump,2016-07-15 14:31:18,#NeverTrump is never more They were crushed last night in Cleveland at Rules Committee by a vote of 87-12 MAKE AMERICA GREAT AGAIN!
Donald J. Trump,2016-07-15 00:39:27,My prayers and condolences to the victims and families of the terrible tragedy in Nice France We are with you in every way!
Donald J. Trump,2016-07-14 23:09:57,In light of the horrible attack in Nice France I have postponed tomorrow's news conference concerning my Vice Presidential announcement
Donald J. Trump,2016-07-14 22:40:31,Another horrific attack this time in Nice France Many dead and injured When will we learn? It is only getting worse
Donald J. Trump,2016-07-14 17:23:58,I employ many people in the State of Virginia - JOBS JOBS JOBS! Crooked Hillary will sell us out just like her husband did with NAFTA
Donald J. Trump,2016-07-14 14:53:46,Another new poll Thank you for your support! Join the MOVEMENT today!  #ImWithYou https://tco/3KWOl2ibaW https://tco/miT4atHxQz
Donald J. Trump,2016-07-14 13:21:48,Great new poll- thank you America! #Trump2016 #ImWithYou https://tco/aVH9c5QRwc
Donald J. Trump,2016-07-14 01:19:51,I will be making the announcement of my Vice Presidential pick on Friday at 11am in Manhattan Details to follow
Donald J. Trump,2016-07-13 22:28:44,If I win the Presidency we will swamp Justice Ginsburg with real judges and real legal opinions!
Donald J. Trump,2016-07-13 22:27:45,Even the @NYTimes and @WashingtonPost Editorial Boards condemned Justice Ginsburg for her ethical and legal breach What was she thinking?
Donald J. Trump,2016-07-13 22:26:20,Is Supreme Court Justice Ruth Bader Ginsburg going to apologize to me for her misconduct? Big mistake by an incompetent judge!
Donald J. Trump,2016-07-13 22:23:40,On my way to San Diego to raise money for the Republican Party I am spending a lot myself and also helping others
Donald J. Trump,2016-07-13 22:22:20,Voters understand that Crooked Hillary's negative ads are not true- just like her email lies and her other fraudulent activity
Donald J. Trump,2016-07-13 22:19:48,Despite spending $500k a day on TV ads alone #CrookedHillary falls flat in nationwide @QuinnipiacPoll Having ZERO impact Sad!!
Donald J. Trump,2016-07-13 22:11:04,Lyin' Crooked Hillary's email stories all have one thing in common https://tco/teoVCYXKOR
Donald J. Trump,2016-07-13 22:06:30,Is President Obama trying to destroy Israel with all his bad moves? Think about it and let me know!
Donald J. Trump,2016-07-13 22:05:22,The Republican platform is most  pro-Israel of all time!
Donald J. Trump,2016-07-13 21:56:42,New GOP platform now includes language that supports the border wall We will build the wall and MAKE AMERICA SAFE AGAIN!
Donald J. Trump,2016-07-13 21:22:44,#CrookedHillary is outspending me by a combined 31 to 1 in Florida Ohio &amp; Pennsylvania I haven't started yet! https://tco/BcoPrwqFMe
Donald J. Trump,2016-07-13 12:50:04,Thank you Florida Ohio and Pennsylvania! #CrookedHillary is not qualified #ImWithYou https://tco/M1yzgyeEdY
Donald J. Trump,2016-07-13 12:33:15,Thank you! #ImWithYou https://tco/6XkUQ0W4QS
Donald J. Trump,2016-07-13 04:54:40,Justice Ginsburg of the US Supreme Court has embarrassed all by making very dumb political statements about me Her mind is shot - resign!
Donald J. Trump,2016-07-13 03:08:58,THANK YOU INDIANA! #Trump2016 https://tco/Jmkah9wGaA
Donald J. Trump,2016-07-12 22:19:52,Thank you Iowa- see you soon! #Trump2016 #ImWithYou  https://tco/gva0MbgnuO https://tco/PE1jdqZysc
Donald J. Trump,2016-07-12 21:59:45,I will be interviewed by @oreillyfactor tonight on @FoxNews at 8pm Enjoy!
Donald J. Trump,2016-07-12 21:10:03,The American people agree No free pass for #CrookedHillary! https://tco/lTjLVKkzh1
Donald J. Trump,2016-07-12 17:04:19,To all the Bernie voters who want to stop bad trade deals &amp; global special interests we welcome you with open arms People first
Donald J. Trump,2016-07-12 17:03:44,Bernie sanders has abandoned his supporters by endorsing pro-war pro-TPP pro-Wall Street Crooked Hillary Clinton
Donald J. Trump,2016-07-12 17:01:51,Bernie Sanders endorsing Crooked Hillary Clinton is like Occupy Wall Street endorsing Goldman Sachs
Donald J. Trump,2016-07-12 16:45:45,#CrookedHillary is not qualified! https://tco/6qi7KTW43O
Donald J. Trump,2016-07-12 13:39:56,I am somewhat surprised that Bernie Sanders was not true to himself and his supporters They are not happy that he is selling out!
Donald J. Trump,2016-07-12 13:36:47,Bernie Sanders who has lost most of his leverage has totally sold out to Crooked Hillary Clinton He will endorse her today - fans angry!
Donald J. Trump,2016-07-12 12:57:18,This election is a choice between law order &amp; safety - or chaos crime &amp; violence I will make America safe again for everyone #ImWithYou
Donald J. Trump,2016-07-12 12:55:29,For too many years our inner cities have been left behind I am going to deliver jobs safety and protection for those in need
Donald J. Trump,2016-07-12 11:58:58,Crime is out of control and rapidly getting worse Look what is going on in Chicago and our inner cities Not good!
Donald J. Trump,2016-07-12 02:12:19,#MakeAmericaGreatAgain #ImWithYou https://tco/lb5ViCDH0g https://tco/roVn7pAVfy
Donald J. Trump,2016-07-12 00:56:29,Senior United States District Judge Robert E Payne today ruled in favor of Trump campaign delegates who had arguedhttps://tco/qVwfjgCHU7
Donald J. Trump,2016-07-11 22:18:22,Speech on Veterans' Reform: https://tco/XB7RMwesMK
Donald J. Trump,2016-07-11 21:40:30,Great poll- Florida! Thank you! https://tco/4FuPpL5WOM
Donald J. Trump,2016-07-11 19:51:29,Thoughts and prayers with the victims and their families- along with everyone at the Berrien County Courthouse in St Joseph Michigan
Donald J. Trump,2016-07-11 11:57:45,Join me in Westfield Indiana- tomorrow night at 7:30pm! #Trump2016  Tickets: https://tco/Jj9TmSEoOd https://tco/Rq6YRHlpib
Donald J. Trump,2016-07-10 18:58:10,I heard that the underachieving John King of @CNN on Inside Politics was one hour of lies Happily few people are watching - dead network!
Donald J. Trump,2016-07-10 18:42:32,The media is so dishonest If I make a statement they twist it and turn it to make it sound bad or foolishThey think the public is stupid!
Donald J. Trump,2016-07-10 18:27:58,President Obama thinks the nation is not as divided as people think He is living in a world of the make believe!
Donald J. Trump,2016-07-10 12:02:02,Look what is happening to our country under the WEAK leadership of Obama and people like Crooked Hillary Clinton We are a divided nation!
Donald J. Trump,2016-07-09 21:22:25,New poll - thank you! #Trump2016 https://tco/Mi87Vmw06H https://tco/WmqvcYG4r3
Donald J. Trump,2016-07-09 15:18:58,Way to go @serenawilliams  - you are a true champion Proud of you!
Donald J. Trump,2016-07-08 23:26:56,MAKE AMERICA SAFE AGAIN! https://tco/m0AJWlV8nm https://tco/P0GleHEmJy
Donald J. Trump,2016-07-08 21:31:01,Isn't it sad that on a day of national tragedy Hillary Clinton is answering softball questions about her email lies on @CNN?
Donald J. Trump,2016-07-08 14:32:15,Due to the horrific events taking place in our country I have decided to postpone my speech on economic opportunity- today in Miami
