name,time,tweets
Donald J. Trump,2016-07-06 02:21:20,I will be interviewed by @oreillyfactor tonight on @FoxNews at 11pm. Enjoy!
Donald J. Trump,2016-07-06 00:52:40,My son @EricTrump will be interviewed by @SeanHannity tonight at 10pm on @FoxNews. Enjoy!
Donald J. Trump,2016-07-05 18:36:15,Looking forward to meeting with @SenBobCorker in a little while. We will be traveling to North Carolina together today.
Donald J. Trump,2016-07-05 15:39:06,FBI director said Crooked Hillary compromised our national security. No charges. Wow! #RiggedSystem
Donald J. Trump,2016-07-05 15:37:23,The system is rigged. General Petraeus got in trouble for far less. Very very unfair! As usual bad judgment.
Donald J. Trump,2016-07-05 12:05:46,It was great spending time with @joniernst yesterday. She has done a fantastic job for the people of Iowa and U.S. Will see her again!
Donald J. Trump,2016-07-05 11:14:58,Taxpayers are paying a fortune for the use of Air Force One on the campaign trail by President Obama and Crooked Hillary. A total disgrace!
Donald J. Trump,2016-07-04 22:59:46,On @FoxNews at 7:00 P.M. "Special: Meet the Trumps" Hope you enjoy!
Donald J. Trump,2016-07-04 22:30:15,Why is President Obama allowed to use Air Force One on the campaign trail with Crooked Hillary? She is flying with him tomorrow. Who pays?
Donald J. Trump,2016-07-04 15:34:15,With Hillary and Obama the terrorist attacks will only get worse. Politically correct fools won't even call it what it is - RADICAL ISLAM!
Donald J. Trump,2016-07-04 15:26:56,Crooked Hillary Clinton is "guilty as hell" but the system is totally rigged and corrupt! Where are the 33000 missing e-mails?
Donald J. Trump,2016-07-04 14:25:04,The only people who are not interested in being the V.P. pick are the people who have not been asked!
Donald J. Trump,2016-07-04 14:19:13,I look forward to meeting @joniernst today in New Jersey. She has done a great job as Senator of Iowa!
Donald J. Trump,2016-07-04 14:11:09,Spent time with Indiana Governor Mike Pence and family yesterday. Very impressed great people!
Donald J. Trump,2016-07-04 13:56:34,Senator Tom Cotton was great on Meet the Press yesterday. Despite a totally one-sided interview by Chuck Todd the end result was solid!
Donald J. Trump,2016-07-04 13:42:16,Dishonest media is trying their absolute best to depict a star in a tweet as the Star of David rather than a Sheriff's Star or plain star!
Donald J. Trump,2016-07-04 13:32:35,Happy 4th of July! #Trump2016 #AmericaFirst https://t.co/Ndb3AQrLtY https://t.co/YhHyQjwJW6
Donald J. Trump,2016-07-04 12:00:11,Crooked Hillary will NEVER be able to handle the complexities and danger of ISIS - it will just go on forever. We need change!
Donald J. Trump,2016-07-04 11:54:40,The third mass attack (slaughter) in days by ISIS. 200 dead in Baghdad worst in many years. We do not have leadership that can stop this!
Donald J. Trump,2016-07-04 11:35:16,In Bangladesh hostages were immediately killed by ISIS terrorists if they were unable to cite a verse from the Koran. 20 were killed!
Donald J. Trump,2016-07-03 21:46:58,I believe that Crooked Hillary sent Bill to have the meeting with the U.S.A.G. So Bill is not in trouble with H except that he got caught!
Donald J. Trump,2016-07-03 21:43:25,The SECRET meeting between Bill Clinton and the U.S.A.G. in back of closed plane was heightened with FBI shouting "go away no pictures."
Donald J. Trump,2016-07-03 21:38:20,Does anybody really believe that Bill Clinton and the U.S.A.G. talked only about "grandkids" and golf for 37 minutes in plane on tarmac?
Donald J. Trump,2016-07-03 21:00:39,"THE SYSTEM IS RIGGED!"
Donald J. Trump,2016-07-03 20:47:51,On Saturday a great man Elie Wiesel passed away.The world is a better place because of him and his belief that good can triumph over evil!
Donald J. Trump,2016-07-03 20:20:20,Crooked Hillary Clinton knew that her husband wanted to meet with the U.S.A.G. to work out a deal. The system is totally rigged &amp; corrupt!
Donald J. Trump,2016-07-03 20:16:23,Only a fool would believe that the meeting between Bill Clinton and the U.S.A.G. was not arranged or that Crooked Hillary did not know.
Donald J. Trump,2016-07-03 17:40:49,Just watched @meetthepress and how totally biased against me Chuck Todd and the entire show is against me.The good news-the people get it!
Donald J. Trump,2016-07-02 21:13:02,It was just announced-by sources-that no charges will be brought against Crooked Hillary Clinton. Like I said the system is totally rigged!
Donald J. Trump,2016-07-02 20:39:39,It is impossible for the FBI not to recommend criminal charges against Hillary Clinton. What she did was wrong! What Bill did was stupid!
Donald J. Trump,2016-07-02 15:33:19,Thank you @greta. #ImWithYou https://t.co/SLdqNhD4Tm
Donald J. Trump,2016-07-02 15:32:04,Thank you for your support! #AmericaFirst #LeadRight2016  https://t.co/a6f6xZNrym
Donald J. Trump,2016-07-02 15:29:38,RT @GOP: Reminder: last year Clinton pledged she had turned over all work-related email under penalty of perjury ⬇️ https://t.co/X4R7LnsSoy
Donald J. Trump,2016-07-02 15:23:25,Thank you! #AmericaFirst https://t.co/MYG45LxGmH
Donald J. Trump,2016-07-02 15:19:35,If I become the next POTUS- they will not be ignoring! #AmericaFirst  https://t.co/97R0cQdnGI
Donald J. Trump,2016-07-02 15:19:19,Crooked Hillary -- Makes History!  #ImWithYou #AmericaFirst https://t.co/PKQhYhMmIX
Donald J. Trump,2016-07-02 13:55:45,The #2A to our Constitution is clear. The right of the people to keep &amp; bear Arms shall not be infringed upon. https://t.co/sqe12D0MBJ
Donald J. Trump,2016-07-02 13:45:16,#AmericaFirst #ImWithYou https://t.co/iEcnnlJ728
Donald J. Trump,2016-07-02 11:55:14,The speakers slots at the Republican Convention are totally filled with a long waiting list of those that want to speak - Wednesday release
Donald J. Trump,2016-07-02 11:48:18,Just read in the failing @nytimes that I was not aware "the event had to be held in Cleveland" - a total lie. These people are sick!
Donald J. Trump,2016-07-02 01:29:25,When you can't say it - or see it -- you can't fix it. We will MAKE AMERICA SAFE AGAIN! #ImWithYou #AmericaFirst https://t.co/Vd2A747L29
Donald J. Trump,2016-07-02 01:19:46,Just returned from Colorado. Amazing crowd!
Donald J. Trump,2016-07-01 19:47:04,Thank you for inviting me to the Western Conservative Summit in Colorado! #ImWithYou #WCS16  https://t.co/lK3UW4fY2q https://t.co/QDQhRRuBbG
Donald J. Trump,2016-07-01 17:07:52,Thank you for your support! We will MAKE AMERICA SAFE AND GREAT AGAIN! #ImWithYou #AmericaFirst https://t.co/ravfFT5UBE
Donald J. Trump,2016-07-01 16:43:56,These crimes won't be happening if I'm elected POTUS. Killer should have never been here. #AmericaFirst  https://t.co/XDGKaj0ico
Donald J. Trump,2016-07-01 15:51:46,Yet another terrorist attack today in Israel -- a father shot at by a Palestinian terrorist was killed while: https://t.co/Cv1HzKVbiT
Donald J. Trump,2016-07-01 13:32:19,Horrible killing of a 13 year old American girl at her home in Israel by a Palestinian terrorist. We must get tough. https://t.co/zauQ6kb9Hj
Donald J. Trump,2016-07-01 13:24:14,.@TraceAdkins great job on FOX this morning. Keep up the good work!
Donald J. Trump,2016-07-01 12:12:48,Take a look at what happened w/ Bill Clinton. The system is totally rigged. Does anybody really believe that meeting was just a coincidence?
Donald J. Trump,2016-07-01 12:12:06,Bill Clinton's meeting was a total secret. Nobody was to know about it but he was caught by a local reporter.
Donald J. Trump,2016-07-01 12:11:41,As Bernie Sanders said Hillary Clinton has bad judgement. Bill's meeting was probably initiated and demanded by Hillary!
Donald J. Trump,2016-07-01 02:59:43,#ThrowbackThursday #Trump2016 https://t.co/gFtspBViXe
Donald J. Trump,2016-06-30 22:41:28,I will be interviewed by @SeanHannity tonight at 10pm on FOX! Enjoy!
Donald J. Trump,2016-06-30 19:30:54,The reason I put up approximately $50 million for my successful primary campaign is very simple I want to MAKE AMERICA GREAT AGAIN!
Donald J. Trump,2016-06-30 19:30:20,I have self funded my winning primary campaign with an approx. $50 million loan. I have totally terminated the loan!
Donald J. Trump,2016-06-30 19:29:48,The very dishonest @NBCNews refuses to accept the fact that I have forgiven my $50 million loan to my campaign. Done deal!
Donald J. Trump,2016-06-30 19:28:27,One of the reasons Hillary hid her emails was so the public wouldn't see how she got rich- selling out America.  https://t.co/mO9QrmYXRD
Donald J. Trump,2016-06-30 18:53:11,Why would college graduates want Crooked Hillary as their President? She will destroy them!  https://t.co/S80xxdeHfG
Donald J. Trump,2016-06-30 17:32:20,New book by @ericbolling is absolutely terrific and a must read! #WakeUpAmerica
Donald J. Trump,2016-06-30 14:48:18,The story with Hillary will never change. https://t.co/h0Av3TAIiM
Donald J. Trump,2016-06-30 14:35:39,RT @DRUDGE_REPORT: 43-39 https://t.co/TkQYb6V2do
Donald J. Trump,2016-06-30 02:39:36,For reasons only they can explain the @USChamber wants to continue our bad trade deals rather than renegotiating and making them better.
Donald J. Trump,2016-06-30 02:30:59,Tremendous day in Massachusetts and Maine. Thank you to everyone for making it so special!
Donald J. Trump,2016-06-30 01:46:50,"@Gengm7: @jakeda @realDonaldTrump As of April this year Hillary had spent $264000000 on her campaign Mr.Trump $55000000. self funding"
Donald J. Trump,2016-06-29 22:57:44,I will be on @oreillyfactor at 8:00 P.M. Enjoy!
Donald J. Trump,2016-06-29 18:21:38,ISIS exploded on Hillary Clinton's watch- she's done nothing about it and never will. Not capable!
Donald J. Trump,2016-06-29 14:48:24,Will be in Bangor Maine today! Join me- 4pmE at the Cross Insurance Center! https://t.co/y4n4nERPFr https://t.co/7LAPewxE05
Donald J. Trump,2016-06-29 14:39:13,New Q poll out- we are going to win the whole deal- and MAKE AMERICA GREAT AGAIN! #Trump2016 https://t.co/dL5ahNcwZb
Donald J. Trump,2016-06-29 14:37:37,Just watched Senator John Barrasso on @FoxNews - He was great! Thank you John.
Donald J. Trump,2016-06-29 13:14:56,Why would the USChamber be upset by the fact that I want to negotiate better and stronger trade deals or that I want penalties for cheaters?
Donald J. Trump,2016-06-29 13:09:49,The @USCHAMBER must fight harder for the American worker. China and many others are taking advantage of U.S. with our terrible trade pacts
Donald J. Trump,2016-06-29 02:55:50,Iron Mike Tyson was not asked to speak at the Convention though I'm sure he would do a good job if he was. The media makes everything up!
Donald J. Trump,2016-06-29 00:31:48,"@jtsbk:  @AllenWest thanks for sharing Eric we need @realDonaldTrump now as this administration is incapable of keeping our country safe"
Donald J. Trump,2016-06-28 21:10:57,We must do everything possible to keep this horrible terrorism outside the United States.
Donald J. Trump,2016-06-28 21:08:51,Yet another terrorist attack this time in Turkey. Will the world ever realize what is going on? So sad.
Donald J. Trump,2016-06-28 20:26:22,Hillary Clinton’s Presidency would be catastrophic for the future of our country. She is ill-fit with bad judgment.
Donald J. Trump,2016-06-28 20:24:13,Benghazi is just another Hillary Clinton failure. It just never seems to work the way it's supposed to with Clinton.
Donald J. Trump,2016-06-28 19:30:35,Check it out - 2nd video on Lying Crooked Hillary is now online! Watch it here:  https://t.co/5mtwkOvQnd  #CrookedHillary #Trump2016
Donald J. Trump,2016-06-28 19:28:13,"@kridan1: Canceled cable - sick of their bad coverage of you and the fawning over Clinton ... Listened to your great speech on YouTube"
Donald J. Trump,2016-06-28 19:26:42,"@bluedogdemky: @CWAUnion @iowa_trump @RichardTrumka @AFLCIO This is why I would think the unions would support @realDonaldTrump for #POTUS"
Donald J. Trump,2016-06-28 19:24:43,"@arnold_ziffel: @AnnCoulter also can't help but notice the stock market's reaction as @realDonaldTrump was speaking. #UPUPUP"
Donald J. Trump,2016-06-28 19:24:26,"@Patricia_Graf:  @GovBrewer @cvpayne let's get Trump supporters out in massive numbers and make America Great Again - create jobs"
Donald J. Trump,2016-06-28 19:23:18,"@vegas_sports: Good for @realDonaldTrump he's smart on business. Maybe If corporations weren't overtaxed they would stay. Voting for #Trump
Donald J. Trump,2016-06-28 19:20:15,"@GovBrewer: I'll be a guest today on Making Money with @cvpayne on @ Fox Business 6 PM ET / 3 PM PT Discussing @realDonaldTrump. Tune in!"
Donald J. Trump,2016-06-27 13:39:12,.@CNN is all negative when it comes to me. I don't watch it anymore.
Donald J. Trump,2016-06-27 13:18:12,The media is unrelenting. They will only go with and report a story in a negative light. I called Brexit (Hillary was wrong) watch November
Donald J. Trump,2016-06-27 13:07:04,Crooked Hillary is wheeling out one of the least productive senators in the U.S. Senate goofy Elizabeth Warren who lied on heritage.
Donald J. Trump,2016-06-27 01:33:10,"@LindaSuhler: Trump voters don't scare or back down. Our numbers are growing &amp; we're taking our country BACK. #Trump2016🇺🇸 #MAGA
Donald J. Trump,2016-06-27 01:31:40,"@w4djt: "Under a Trump presidency America will make brilliant new trade deals!" —Donald Trump #dtmag https://t.co/NpYI9i4iSG"
Donald J. Trump,2016-06-27 00:38:14,"@brazosboys: Hillary read "sigh" off the Teleprompter She's so fake she has to be told how to feel: https://t.co/ENXliW2m77 @FoxNews
Donald J. Trump,2016-06-26 23:24:35,"@JimVitari:  @ABC @washingtonpost we know they're fake just like poles during primary. I'm sure u will crush #CrookedHillary in general"
Donald J. Trump,2016-06-26 23:13:25,The "dirty" poll done by @ABC @washingtonpost is a disgrace. Even they admit that many more Democrats were polled. Other polls were good.
Donald J. Trump,2016-06-26 22:28:32,Crooked Hillary Attacks Foreign Government Donations - While Ignoring Her Own: https://t.co/pr3BSHJSxL
Donald J. Trump,2016-06-26 22:15:40,Crooked Hillary Clinton got Brexit wrong. I said LEAVE will win. She has no sense of markets and such bad judgement. Only a question of time
Donald J. Trump,2016-06-26 22:09:30,Hillary Clinton is not a change agent just the same old status quo! She is spending a fortune I am spending very little. Close in polls!
Donald J. Trump,2016-06-26 21:21:50,People in our country want borders and without them the old line pols like Crooked Hillary will not win. It is time for CHANGE -- and JOBS!
Donald J. Trump,2016-06-26 16:31:38,Top 50 Facts About Crooked Hillary Clinton From Trump 'Stakes Of The Election' Address: https://t.co/lfUdXYnsgJ
Donald J. Trump,2016-06-26 16:21:15,The @ABC poll sample is heavy on Democrats.  Very dishonest - why would they do that? Other polls good!
Donald J. Trump,2016-06-26 16:06:23,Crooked Hillary just took a major ad of me playing golf at Turnberry. Shows me hitting shot but I never did = lie! Was there to support son
Donald J. Trump,2016-06-26 11:36:14,Clinton is trying to wash away her bad judgement call on BREXIT with big dollar ads. Disgraceful!
Donald J. Trump,2016-06-26 11:33:17,Crooked Hillary Clinton who called BREXIT 100% wrong (along with Obama) is now spending Wall Street money on an ad on my correct call.
Donald J. Trump,2016-06-26 11:24:00,George Will one of the most overrated political pundits (who lost his way long ago) has left the Republican Party.He's made many bad calls
Donald J. Trump,2016-06-26 03:32:05,Just landed in New York - a one night stay in Scotland. Turnberry came out magnificently. My son Eric did a great job - under budget!
Donald J. Trump,2016-06-26 02:40:06,Obama has blocked ICE officers and BP from doing their jobs. That ends when I am President!
Donald J. Trump,2016-06-26 02:39:23,I have never liked the media term 'mass deportation' -- but we must enforce the laws of the land!
Donald J. Trump,2016-06-26 02:37:59,We only want to admit those who love our people and support our values. #AmericaFirst
Donald J. Trump,2016-06-26 02:37:14,We must suspend immigration from regions linked with terrorism until a proven vetting method is in place.
Donald J. Trump,2016-06-25 16:00:18,Thank you to everyone who came out &amp; joined us @TrumpTurnberry yesterday! @EricTrump @IvankaTrump @DonaldJTrumpJr https://t.co/hQ1JTMrUtG
Donald J. Trump,2016-06-25 15:07:32,On the 13th tee box @TrumpScotland with my grand daughter Kai! @DonaldJTrumpJr https://t.co/7ii4KUfsab
Donald J. Trump,2016-06-25 14:55:11,Arriving @TrumpScotland with @DonaldJTrumpJr &amp; @EricTrump. Back to New York tonight.  Video: https://t.co/2GUKqOTHS5
Donald J. Trump,2016-06-25 12:00:29,So funny Crooked Hillary called BREXIT so incorrectly and now she says that she is the one to deal with the U.K. All talk no action!
Donald J. Trump,2016-06-25 04:29:41,Thoughts and prayers are with everyone in West Virginia- dealing with the devastating floods. #ImWithYou
Donald J. Trump,2016-06-24 22:31:14,"@Jolena3: @realDonaldTrump And we will get it back once we have President Trump! Can't wait!"
Donald J. Trump,2016-06-24 22:12:13,"@DarrenWaggener: @realDonaldTrump What has happened in the UK in the last 12 hours is exactly what will happen in November..vote TRUMP 2016
Donald J. Trump,2016-06-24 21:43:17,Many people are equating BREXIT and what is going on in Great Britain with what is happening in the U.S. People want their country back!
Donald J. Trump,2016-06-24 21:34:48,The opening of Trump Turnberry in Scotland was a big success. Good timing I was here for BREXIT. Very exciting news conference today!
Donald J. Trump,2016-06-24 21:23:40,Crooked Hillary called it totally wrong on BREXIT - she went with Obama - and now she is saying we need her to lead. She would be a disaster
Donald J. Trump,2016-06-24 18:50:57,I want all Americans to succeed together. President Obama's illegal executive amnesty undermines job prospects for...https://t.co/dpIDejXzJw
Donald J. Trump,2016-06-24 18:48:50,New Government data by the Center for Immigration Studies shows more than 3M new legal &amp; illegal immigrants settled..https://t.co/hMFyZc1kAM
Donald J. Trump,2016-06-24 10:32:00,America is proud to stand shoulder-to-shoulder w/a free &amp; ind UK. We stand together as friends as allies &amp; as a people w/a shared history.
Donald J. Trump,2016-06-24 10:30:31,Self-determination is the sacred right of all free people's and the people of the UK have exercised that right for all the world to see.
Donald J. Trump,2016-06-24 09:28:54,Getting ready to open the magnificent Turnberry in Scotland. What a great day especially when added to the brave &amp; brilliant vote.
Donald J. Trump,2016-06-24 09:28:49,Statement Regarding British Referendum on E.U. Membership https://t.co/GwWRxT3BVp
Donald J. Trump,2016-06-24 09:21:55,Just arrived in Scotland. Place is going wild over the vote. They took their country back just like we will take America back. No games!
Donald J. Trump,2016-06-24 00:58:06,Congratulations to my son Eric on the fantastic job he has done in rebuilding Turnberry and its great Ailsa Course. Always support kids!
Donald J. Trump,2016-06-24 00:52:53,Leaving now for a one night trip to Scotland in order to be at the Grand Opening of my great Turnberry Resort. Will be back on Sat. night!
Donald J. Trump,2016-06-23 21:36:06,Meet the amazing mother whose letter I read during my speech. She lost her son to policies supported by Clinton. https://t.co/NdGQI6Dnji
Donald J. Trump,2016-06-23 20:08:38,Read my full statement here on the Supreme Court's executive amnesty decision #imwithyou  https://t.co/sb1Ag1Eb27
Donald J. Trump,2016-06-23 19:35:45,Here is another CNN lie. The Clinton News Network is losing all credibility. I’m not watching it much anymore.  https://t.co/pNSgSjD5gW
Donald J. Trump,2016-06-23 19:34:35,CNN which is totally biased in favor of Clinton should apologize. They knew they were wrong.  https://t.co/KR7OnS8h6s
Donald J. Trump,2016-06-23 19:18:26,RT @ScottAdamsSays: Trump's speech today is the best persuasion I have ever seen. Game over. Now running unopposed:  https://t.co/P7fHEMP6U…
Donald J. Trump,2016-06-23 19:10:45,Our inner cities have been left behind. We will never have the resources to support our people if we have an open border.
Donald J. Trump,2016-06-23 18:48:20,On immigration I’m consulting with our immigration officers &amp; our wage-earners. Hillary Clinton is consulting with Wall Street.
Donald J. Trump,2016-06-23 18:30:08,Obama &amp; Clinton should stop meeting with special interests &amp; start meeting with the victims of illegal immigration.
Donald J. Trump,2016-06-23 18:18:18,Hillary Clinton’s open borders are tearing American families apart. I am going to make our country Safe Again for all Americans. #Imwithyou
Donald J. Trump,2016-06-23 18:07:46,SC has kept us safe from exec amnesty--for now. But Hillary has pledged to expand it taking jobs from Hispanic &amp; African-American workers.
Donald J. Trump,2016-06-23 17:43:17,RT @FoxBusiness: .@JerryJrFalwell: "I was so impressed by [@realDonaldTrump's] speech yesterday. He was the best I've ever seen him." https…
Donald J. Trump,2016-06-23 17:07:28,Hillary Lies to Benghazi Families #CrookedHillary  https://t.co/YWd5lk5skG
Donald J. Trump,2016-06-23 13:20:29,ISIS threatens us today because of the decisions Hillary Clinton has made along with President Obama."  --  Donald J. Trump
Donald J. Trump,2016-06-23 13:17:35,"Hillary Clinton may be the most corrupt person ever to seek the presidency."  --   Donald J. Trump
Donald J. Trump,2016-06-23 13:13:22,Thank you to Donald Rumsfeld for the endorsement. Very much appreciated. Clinton's conduct has been "disqualifying."
Donald J. Trump,2016-06-23 03:29:50,"@AllegrettiVicki: You have great children future presidents...and we all see were raised right and out there for their father." Thank you.
Donald J. Trump,2016-06-23 02:26:09,"@1lion: brilliant 3 word response to Hillary's 'I'm With You'  slogan https://t.co/dJL71jwK0g @realDonaldTrump https://t.co/Audi8h85qu"
Donald J. Trump,2016-06-23 02:24:01,"@justininglv: @realDonaldTrump great speech today!! It's all about America and that's why you will become president!!!!"  Thank you.
Donald J. Trump,2016-06-22 21:39:43,#Imwithyou https://t.co/tan8BmAuR8 https://t.co/5EZ7X1ZZKh
Donald J. Trump,2016-06-22 19:01:09,#Imwithyou https://t.co/iY4K7Wcw3C
Donald J. Trump,2016-06-22 19:00:47,Hillary says things can't change. I say they have to change. It's a choice between Americanism and her corrupt globalism. #Imwithyou
Donald J. Trump,2016-06-22 03:48:27,"@chrisboydbrew: @LouDobbs @realDonaldTrump @FoxBusiness.. Saw your interview.You are the best! Great questions great answers" Lou is great
Donald J. Trump,2016-06-22 03:16:27,Crooked Hillary refuses to say that she will be raising taxes beyond belief! She will be a disaster for jobs and the economy!
Donald J. Trump,2016-06-21 20:44:00,I will be interviewed by @LouDobbs tonight on @FoxBusiness 7pm ET
Donald J. Trump,2016-06-21 17:19:22,Hillary defrauded America as Secy of State. She used it as a personal hedge fund to get herself rich! Corrupt dangerous dishonest.
Donald J. Trump,2016-06-21 17:17:49,If you want to know about Hillary Clinton's honesty &amp; judgment ask the family of Ambassador Stevens.
Donald J. Trump,2016-06-21 17:16:14,Hillary took money and did favors for regimes that enslave women and murder gays.
Donald J. Trump,2016-06-21 16:55:41,I am "the king of debt."That has been great for me as a businessman but is bad for the country. I made a fortune off of debt will fix U.S.
Donald J. Trump,2016-06-21 16:53:07,Obama-Clinton inherited $10T in debt and turned it into nearly $20T.  They have bankrupted… https://t.co/1COtt0RPY7
Donald J. Trump,2016-06-21 16:44:28,Hillary Clinton's open borders immigration policies will drive down wages for all Americans - and make everyone less safe.
Donald J. Trump,2016-06-21 16:42:47,How can Hillary run the economy when she can't even send emails without putting entire nation at risk?
