name,time,tweets
Donald J. Trump,2016-08-04 19:23:41,Happy 226th Birthday to the United States Coast Guard Thank you @USCG! #CoastGuardDay https://tco/hr4O8Xgq2R
Donald J. Trump,2016-08-04 19:16:00,Great meeting all of you This group knocked on 50K doors &amp; counting here in Maine thank you! @MaineGOP  https://tco/Iui1F2z9ca
Donald J. Trump,2016-08-04 15:17:01,Looking forward to IA &amp; WI with Gov Pence tomorrow Join us! #MAGA https://tco/3Hcnzj0Slx https://tco/sEwLWkn1Sz https://tco/0Ei3EdQdXB
Donald J. Trump,2016-08-04 02:27:52,Thank you Jacksonville Florida! #MakeAmericaGreatAgain  https://tco/xrTQjt9WOC https://tco/VSnBoQYoZs
Donald J. Trump,2016-08-03 23:10:41,Thank you for your support of my candidacy! #MAGA #ImWithYou  https://tco/Al5bZlRFYk
Donald J. Trump,2016-08-03 22:10:11,Thank you to the amazing law enforcement officers today  in Daytona Beach Florida! #LESM #MAGA https://tco/QoxJf4Xzbc
Donald J. Trump,2016-08-03 21:57:07,THANK YOU Daytona Beach Florida! #MakeAmericaGreatAgain https://tco/IAcLfXe463
Donald J. Trump,2016-08-03 17:20:29,RT @mike_pence: Join me in Colorado today! Look forward to seeing you!  Denver  2pm https://tco/8VbvJYDa4F  Colorado Springs  6pm https:/…
Donald J. Trump,2016-08-03 10:23:27,Our incompetent Secretary of State Hillary Clinton was the one who started talks to give 400 million dollars in cash to Iran Scandal!
Donald J. Trump,2016-08-03 09:14:40,There is great unity in my campaign perhaps greater than ever before I want to thank everyone for your tremendous support Beat Crooked H!
Donald J. Trump,2016-08-03 02:51:00,Great day in Virginia Crowd was fantastic!
Donald J. Trump,2016-08-02 21:52:32,My daughter @IvankaTrump will be on @Greta tonight at 7pm Enjoy! https://tco/QySC5PLFMy
Donald J. Trump,2016-08-02 19:38:16,Report raises questions about ‘Clinton Cash’ from Russians during ‘reset' https://tco/vVcAzY2zcp
Donald J. Trump,2016-08-02 19:07:25,President Obama will go down as perhaps the worst president in the history of the United States!
Donald J. Trump,2016-08-02 19:00:04,RT @gatewaypundit: Democrat Fire Marshal Turns THOUSANDS of Trump Supporters Away at Columbus Rally https://tco/TO8oE5cv8Z via @gatewaypun…
Donald J. Trump,2016-08-02 18:27:51,#ICYMI: John Podesta’s Brother Pocketed $180000 from Putin’s Uranium Company: https://tco/d0LfyiBlvX https://tco/I5fF3didZs
Donald J. Trump,2016-08-02 18:13:10,#CrookedHillary https://tco/xe0I0EmxMa
Donald J. Trump,2016-08-02 18:00:06,Join me in Florida tomorrow!  #MakeAmericaGreatAgain   Daytona | 3pm   https://tco/jbOS2s4qGI  Jacksonville | 7pm   https://tco/XSF1kp7R54
Donald J. Trump,2016-08-02 17:47:19,STATEMENT IN RESPONSE TO PRESIDENT OBAMA'S FAILED LEADERSHIP: https://tco/SPgFIFuSO7
Donald J. Trump,2016-08-02 16:57:16,Thank you Virginia! #ImWithYou https://tco/9inCh1BVwM
Donald J. Trump,2016-08-02 10:24:03,The Washington Post calls out #CrookedHillary for what she REALLY is A PATHOLOGICAL LIAR! Watch that nose grow! https://tco/FsrUGByuuD
Donald J. Trump,2016-08-02 02:22:42,Great afternoon in Ohio &amp; a great evening in Pennsylvania   departing now See you tomorrow Virginia! https://tco/jQTQYBFpdb
Donald J. Trump,2016-08-02 01:58:48,Just leaving Mechanicsburg PA Incredible crowd   so enthusiastic! Will be back soon #MAGA https://tco/RbuXfDZ5w9
Donald J. Trump,2016-08-02 01:40:37,RT @DanScavino: @realDonaldTrump stops by overflow room in Mechanicsburg Pennsylvania  prior to main rally #TrumpMovement #MAGA🇺🇸 https:…
Donald J. Trump,2016-08-02 01:33:45,Vast numbers of manufacturing jobs in Pennsylvania have moved to Mexico and other countries That will end when I win!
Donald J. Trump,2016-08-01 23:25:11,Thanks to @pnehlen for your kind words very much appreciated
Donald J. Trump,2016-08-01 23:02:59,Join me in Florida on Wednesday! Daytona &amp; Jacksonville:  Daytona | 3pm  https://tco/rJjYUbwiLL Jacksonville | 7pm  https://tco/zfxeNbr1nq
Donald J. Trump,2016-08-01 22:54:27,During the GOP convention CNN cut away from the victims of illegal immigrant violence They don’t want them heard https://tco/EHRiLkQDWD
Donald J. Trump,2016-08-01 22:52:39,When will CNN do a segment on Hillary’s plan to increase Syrian refugees 550% and how much it will cost?
Donald J. Trump,2016-08-01 22:52:00,Hillary Clinton raked in money from regimes that horribly oppress women and gays &amp; refuses to speak out against Radical Islam
Donald J. Trump,2016-08-01 22:46:28,Hillary whose decisions have led to the deaths of many accepted $ from a business linked to ISIS Silence at CNN https://tco/gJYSSXtpaz
Donald J. Trump,2016-08-01 21:42:57,Crooked Hillary Clinton is 100% owned by her donors #ImWithYou #MAGA https://tco/iYM3CCWS2z
Donald J. Trump,2016-08-01 20:42:50,Thank you Columbus Ohio! I will be back soon #ImWithYou #MAGA https://tco/vMf1EPJp4r
